koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
10.19154678,6.165,61.3,27.6,1.39,6212.0,1.684,CANDIDATE
12.89006728,3.555,602.5,23.6,1.93,4915.0,0.812,CANDIDATE
23.210509958,3.09802,28737.0,958.7,21.19,5875.0,0.809,CANDIDATE
4.74666128,2.093,256.8,12.5,1.3,4915.0,0.812,CANDIDATE
23.02028478,3.544,5077.8,97.2,7.58,5613.0,0.956,CANDIDATE
0.708621057,1.5041,187.5,30.5,1.2,5422.0,0.887,CANDIDATE
169.4976085,7.77,12192.0,82.8,9.06,5270.0,0.787,CANDIDATE
0.917568975,2.0654,15805.0,128.1,11.92,5713.0,0.893,CANDIDATE
7.79668781,4.6699,361.3,48.5,2.44,6521.0,1.276,CANDIDATE
7.00447892,2.669,231.4,9.9,1.19,4883.0,0.808,CANDIDATE
30.69395532,2.9512,18121.0,196.6,13.72,6137.0,1.018,CANDIDATE
29.481061268,3.6636,11871.0,332.0,16.61,5631.0,0.901,CANDIDATE
32.7737631,3.416,564.5,21.7,5.0,5640.0,1.534,CANDIDATE
77.63424586,4.1002,16612.0,185.5,9.4,4812.0,0.755,CANDIDATE
32.85862571,3.1483,162.8,36.4,2.31,5899.0,1.414,CANDIDATE
2.229326354,1.9946,49.1,24.6,0.6,5587.0,0.865,CANDIDATE
8.56267266,1.53,608.1,15.2,2.26,5029.0,0.93,CANDIDATE
17.79108667,2.662,414.2,39.8,2.88,5855.0,1.34,CANDIDATE
63.0732241,5.397,671.3,30.0,17.8,6234.0,6.354,CANDIDATE
8.710442022,0.9425,1196.4,42.6,3.61,5416.0,0.809,CANDIDATE
6.35585682,1.55,176.6,9.2,0.86,3706.0,0.522,CANDIDATE
4.22464216,1.403,987.0,7.7,4.31,6343.0,1.14,CANDIDATE
46.2991052,5.2481,854.9,55.0,4.33,5396.0,1.507,CANDIDATE
15.09521323,3.41,,,,,,CANDIDATE
6.31219171,4.9377,403.7,35.6,2.17,6322.0,1.075,CANDIDATE
86.049055,29.28,429.9,8.0,2.06,5733.0,0.997,CANDIDATE
5.007414194,1.3584,4413.9,196.6,8.8,5957.0,1.042,CANDIDATE
17.50441726,4.2585,725.4,47.5,3.56,5815.0,1.329,CANDIDATE
86.7490807,9.179,547.1,35.7,2.23,5579.0,0.97,CANDIDATE
3.261759866,1.7593,3876.1,190.4,8.01,6131.0,0.945,CANDIDATE
20.92735802,3.4256,8091.0,263.5,17.36,6126.0,1.109,CANDIDATE
30.5231459,2.7286,2212.3,38.7,11.26,5518.0,0.79,CANDIDATE
28.78270955,3.451,864.5,40.1,2.11,4774.0,0.745,CANDIDATE
4.539297295,1.9455,798.1,50.3,2.34,4914.0,0.724,CANDIDATE
6.73679732,2.36,,,,,,CANDIDATE
124.03589939,4.8472,7690.0,190.1,11.13,5822.0,1.28,CANDIDATE
17.1181036,1.29,167.7,6.1,1.22,5576.0,0.929,CANDIDATE
8.29482811,2.7437,559.5,38.1,2.76,5773.0,0.939,CANDIDATE
10.240611361,0.9617,2958.0,72.0,3.9,5227.0,0.64,CANDIDATE
23.11707222,3.9948,2407.5,61.2,4.37,5275.0,0.796,CANDIDATE
4.77502117,1.7087,451.4,16.7,1.73,5275.0,0.796,CANDIDATE
5.69590202,3.5661,4921.1,391.2,6.61,6106.0,0.94,CANDIDATE
2.64622742,1.407,155.5,8.4,0.99,5167.0,0.787,CANDIDATE
65.18703725,5.44,,,,,,CANDIDATE
6.69332825,2.311,781.8,23.4,2.44,4245.0,0.637,CANDIDATE
29.0726293,2.516,439.6,20.9,2.32,5799.0,1.042,CANDIDATE
6.6254781,2.358,122.0,2.7,0.9,5211.0,0.832,CANDIDATE
1.34145255,7.502,26.6,31.2,1.31,7495.0,2.389,CANDIDATE
14.97974335,4.126,1211.8,33.2,3.79,5062.0,0.853,CANDIDATE
6.7445683,3.813,86.6,6.8,0.86,6106.0,0.923,CANDIDATE
33.35859852,2.286,1825.9,32.2,4.44,5009.0,0.799,CANDIDATE
6.3143447,2.796,191.4,6.4,1.34,6075.0,0.969,CANDIDATE
78.7327023,5.041,495.8,19.1,7.76,6715.0,2.763,CANDIDATE
42.3375799,4.924,354.8,18.1,1.45,4132.0,0.581,CANDIDATE
1.834277283,1.7499,286.5,24.8,1.64,5751.0,0.958,CANDIDATE
1.151244686,1.272,269.6,32.6,40.32,6086.0,0.921,CANDIDATE
2.42088277,2.812,223.3,20.7,2.27,5583.0,1.53,CANDIDATE
38.103908,3.837,961.1,20.3,4.08,5250.0,0.771,CANDIDATE
5.24242029,6.413,334.9,20.1,3.86,5383.0,1.829,CANDIDATE
37.8034121,4.641,678.1,20.2,2.95,5329.0,0.819,CANDIDATE
131.485184,5.294,557.8,19.4,3.03,5765.0,1.242,CANDIDATE
16.2908527,3.176,44.1,14.5,0.52,5425.0,0.797,CANDIDATE
147.281212,7.375,452.8,17.3,2.28,5708.0,1.054,CANDIDATE
16.6671415,3.526,175.0,17.9,0.7,4729.0,0.525,CANDIDATE
34.135676,9.12,622.0,8.6,13.98,7818.0,5.555,CANDIDATE
86.130534,3.321,285.2,3.7,1.47,5830.0,0.876,CANDIDATE
8.46354384,1.4078,792.2,26.1,2.51,5427.0,0.887,CANDIDATE
191.86419296,4.9,,,,,,CANDIDATE
13.72549689,7.62,,,,,,CANDIDATE
176.331289,13.89,109.8,8.4,2.38,6146.0,2.251,CANDIDATE
6.2141496,10.141,183.4,53.4,4.27,5295.0,3.152,CANDIDATE
17.65737838,3.509,2155.7,117.2,2.45,3745.0,0.47,CANDIDATE
7.5966998,3.667,127.5,24.5,1.32,5716.0,1.091,CANDIDATE
15.40877383,3.49,,,,,,CANDIDATE
58.35512552,8.45,,,,,,CANDIDATE
1.204686597,0.823,233.2,10.8,1.55,5780.0,1.0,CANDIDATE
6.78341325,3.5437,501.2,35.3,20.75,5096.0,8.769,CANDIDATE
6.95787,4.537,182.3,1.8,1.39,6240.0,1.025,CANDIDATE
9.4907638,2.713,197.4,7.3,1.05,5290.0,0.746,CANDIDATE
0.76196247,1.282,190.2,18.3,1.08,5167.0,0.787,CANDIDATE
2.19251903,1.845,18.1,6.6,0.37,5450.0,0.842,CANDIDATE
39.7557642,1.958,621.8,10.2,13.72,4405.0,0.511,CANDIDATE
10.27127527,3.029,343.5,17.5,0.94,4405.0,0.511,CANDIDATE
4.267961416,1.3427,127.4,24.6,1.42,6395.0,1.237,CANDIDATE
18.1209388,3.781,504.2,15.8,1.68,4905.0,0.774,CANDIDATE
