period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,Name,StarID
1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,5735.0,0.973,4.41,15.279,0,K00799.01,3246984
2.711504086,3.0099,837.5,3.12,960.79,1420.0,6214.0,1.076,4.442,15.541,1,K00800.01,3342970
7.21203748,4.0491,950.4,3.32,260.58,1025.0,6214.0,1.076,4.442,15.541,1,K00800.02,3342970
14.1798187,2.505,459.9,1.88,60.35,711.0,5799.0,0.878,4.539,15.727,0,K00789.01,12459725
8.47237911,2.7245,1123.5,2.59,75.44,751.0,5354.0,0.788,4.587,15.339,1,K00790.01,12470844
60.4189369,5.039,931.3,2.36,5.49,390.0,5354.0,0.788,4.587,15.339,1,K00790.02,12470844
12.611904345,5.1497,6105.6,7.4,76.15,753.0,5795.0,0.919,4.508,15.14,1,K00791.01,12644822
1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,6017.0,1.339,4.22,15.122,0,K00792.01,2440757
10.31872301,3.836,871.7,28.59,139.26,876.0,5927.0,1.06,4.409,15.065,0,K00793.01,2445129
2.539183147,2.4282,382.1,2.06,743.09,1332.0,5519.0,1.062,4.35,15.026,1,K00794.01,2713049
6.770300385,2.0844,1304.0,2.77,102.87,812.0,5653.0,0.679,4.656,15.591,1,K00795.01,3114167
0.444291966,2.0792,10967.0,27.51,2706.26,1836.0,5255.0,0.636,4.678,15.748,0,K00796.01,3114661
20.06036336,3.3203,1494.7,1.96,4.0,361.0,3950.0,0.493,4.754,15.954,1,K00812.02,4139816
46.1842039,4.758,1394.7,1.83,1.32,273.0,3950.0,0.493,4.754,15.954,1,K00812.03,4139816
23.9800854,5.351,104.0,1.31,41.94,649.0,5854.0,1.012,4.406,12.882,1,K00116.04,8395660
7.82502168,2.186,520.8,1.2,14.05,494.0,3950.0,0.493,4.754,15.954,1,K00812.04,4139816
3.895936525,2.3111,8544.8,7.34,241.62,1005.0,5557.0,0.774,4.592,15.725,1,K00813.01,4275191
22.36646466,5.228,986.8,2.32,19.45,536.0,5395.0,0.734,4.615,15.583,1,K00814.01,4476123
1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,5539.0,1.106,4.322,15.001,1,K00801.01,3351888
7.544039,6.222,322.6,17.47,116.46,838.0,5657.0,0.824,4.567,15.559,0,K00803.01,3554600
9.02930689,3.1449,1019.8,2.57,77.75,757.0,5349.0,0.82,4.526,15.387,1,K00804.01,3641726
10.328035714,7.7915,16918.0,13.28,119.31,843.0,5627.0,1.024,4.359,15.646,0,K00805.01,3734868
143.2063047,8.9302,10566.0,8.9,2.14,308.0,5485.0,0.867,4.556,15.403,1,K00806.01,3832474
6.164876,3.262,55.8,0.79,256.35,1021.0,5854.0,1.012,4.406,12.882,1,K00116.03,8395660
60.32494216,6.6188,20280.0,12.19,6.77,411.0,5485.0,0.867,4.556,15.403,1,K00806.02,3832474
29.1598615,4.803,488.0,1.91,17.85,524.0,5485.0,0.867,4.556,15.403,1,K00806.03,3832474
1.540397253,2.1541,816.1,25.69,1105.68,1470.0,5663.0,0.915,4.53,15.974,0,K00807.01,3836375
2.99025443,5.414,589.2,1.7,168.45,918.0,4667.0,0.731,4.578,15.842,0,K00808.01,3838486
1.594745374,1.9604,15044.0,11.3,1329.42,1539.0,5934.0,0.893,4.491,15.53,1,K00809.01,3935914
4.783002698,2.335,1008.7,2.5,145.48,886.0,5170.0,0.807,4.574,15.119,1,K00810.01,3940418
20.50588921,4.0595,2105.5,3.41,17.06,518.0,4905.0,0.761,4.544,15.398,1,K00811.01,4049131
3.340218842,1.9104,1632.6,2.03,43.73,656.0,3950.0,0.493,4.754,15.954,1,K00812.01,4139816
2.507089906,2.0067,1339.2,30.26,730.47,1326.0,5926.0,0.939,4.506,15.555,0,K00828.01,5287983
18.64932728,4.4056,893.6,3.12,57.13,701.0,5775.0,1.053,4.405,15.386,1,K00829.01,5358241
4.90144976,4.1654,140.7,1.7,598.74,1262.0,5847.0,1.402,4.191,12.487,1,K00117.02,10875245
9.75192101,4.793,418.0,2.76,135.66,870.0,5775.0,1.053,4.405,15.386,1,K00829.02,5358241
38.5576546,5.794,993.0,4.02,21.71,550.0,5775.0,1.053,4.405,15.386,1,K00829.03,5358241
3.525632539,2.59959,22335.0,11.58,213.12,975.0,5150.0,0.793,4.572,15.224,1,K00830.01,5358624
7.748094239,3.5957,2472.1,5.52,204.39,964.0,5973.0,1.085,4.439,15.67,1,K00816.01,4664847
23.96793669,3.827,1182.3,1.8,2.77,329.0,3747.0,0.524,4.728,15.414,1,K00817.01,4725681
8.29561738,1.3421,824.3,1.82,11.39,469.0,3747.0,0.524,4.728,15.414,1,K00817.02,4725681
8.11437482,2.2736,1558.0,2.1,10.55,460.0,3692.0,0.517,4.753,15.877,1,K00818.01,4913852
38.036729482,4.34617,82872.0,27.5,14.81,500.0,5575.0,0.932,4.521,15.472,0,K00819.01,4932348
3.747838198,5.0642,616.0,13.65,266.76,1031.0,5514.0,0.826,4.569,13.496,0,K00011.01,11913073
14.74914825,6.0995,430.2,2.89,137.91,874.0,5847.0,1.402,4.191,12.487,1,K00117.01,10875245
21.81295996,4.3791,1175.4,3.38,39.33,639.0,5601.0,0.999,4.41,15.54,1,K00821.01,5021899
7.91936937,3.3148,15148.0,10.34,104.0,814.0,5690.0,0.776,4.588,15.805,0,K00822.01,5077629
15.37562369,3.3169,15337.0,11.01,30.54,600.0,4986.0,0.833,4.496,16.422,1,K00824.01,5164255
8.10363271,3.161,887.9,2.11,52.82,687.0,4861.0,0.732,4.574,15.289,1,K00825.01,5252423
4.71510843,2.506,417.5,1.46,108.84,823.0,4861.0,0.732,4.574,15.289,1,K00825.02,5252423
6.365839713,2.9721,780.7,2.44,165.33,914.0,5776.0,0.849,4.554,15.09,1,K00826.01,5272878
5.97581754,3.065,962.4,3.86,284.25,1047.0,6108.0,0.997,4.471,15.546,0,K00827.01,5283542
2.446737317,4.7211,1177.9,26.25,597.19,1261.0,5764.0,0.863,4.548,15.021,0,K00839.01,5649215
3.04033046,1.8411,10859.0,8.99,257.29,1021.0,5035.0,0.791,4.519,15.028,1,K00840.01,5651104
15.33528675,3.897,3081.4,5.0,32.67,610.0,5251.0,0.817,4.581,15.855,1,K00841.01,5792202
7.95825328,4.377,50.0,1.06,314.15,1074.0,5847.0,1.402,4.191,12.487,1,K00117.04,10875245
31.33046135,5.176,5073.8,6.5,12.61,481.0,5251.0,0.817,4.581,15.855,1,K00841.02,5792202
3.9043425,3.831,16228.0,12.28,351.05,1104.0,5810.0,0.898,4.526,15.016,0,K00831.01,5370302
9.286358079,3.49949,44791.0,17.61,95.03,796.0,5670.0,0.821,4.523,15.365,0,K00832.01,5372966
3.951405455,2.1862,2453.9,31.44,388.71,1133.0,6046.0,0.869,4.539,15.446,0,K00833.01,5376067
23.65369415,8.2183,3341.8,7.89,67.65,731.0,5739.0,1.384,4.191,15.084,1,K00834.01,5436502
13.23352214,6.7372,504.6,3.06,146.67,888.0,5739.0,1.384,4.191,15.084,1,K00834.02,5436502
6.15560285,4.9843,285.0,2.32,406.94,1146.0,5739.0,1.384,4.191,15.084,1,K00834.03,5436502
2.090811305,3.388,115.9,1.62,1718.04,1642.0,5739.0,1.384,4.191,15.084,1,K00834.04,5436502
3.180027898,3.5797,120.3,1.53,1066.86,1458.0,5847.0,1.402,4.191,12.487,1,K00117.03,10875245
50.4467417,7.159,370.3,2.67,24.64,568.0,5739.0,1.384,4.191,15.084,1,K00834.05,5436502
11.76307164,2.9076,1037.3,2.35,33.99,616.0,4959.0,0.756,4.603,15.208,1,K00835.01,5456651
56.2279271,3.57,862.7,2.37,4.22,366.0,4959.0,0.756,4.603,15.208,1,K00835.02,5456651
2.384052875,3.0918,1268.1,17.06,244.87,1010.0,4794.0,0.701,4.58,15.836,0,K00836.01,5481416
7.953547,2.6312,875.4,2.25,55.37,696.0,4768.0,0.779,4.536,15.66,1,K00837.01,5531576
4.14451656,2.3421,391.8,1.48,132.08,864.0,4768.0,0.779,4.536,15.66,1,K00837.02,5531576
4.859386384,2.2757,6044.3,38.33,364.23,1114.0,6072.0,0.988,4.47,15.311,0,K00838.01,5534814
10.526294577,2.5211,9768.0,8.24,61.16,713.0,5386.0,0.793,4.553,15.305,1,K00850.01,6291653
4.583520948,2.7055,3812.1,5.39,274.98,1038.0,5815.0,0.877,4.54,15.287,1,K00851.01,6392727
3.76181843,3.5176,510.6,2.66,372.62,1121.0,5653.0,0.949,4.472,15.257,1,K00852.01,6422070
8.20396958,2.9667,1024.4,3.01,71.5,742.0,5015.0,0.826,4.499,15.376,1,K00853.01,6428700
14.49645186,4.016,647.5,3.01,33.48,613.0,5015.0,0.826,4.499,15.376,1,K00853.02,6428700
6.54626149,2.75,655.9,2.19,101.78,810.0,5251.0,0.817,4.581,15.855,1,K00841.03,5792202
12.71809866,3.0957,1149.4,2.31,23.6,562.0,4702.0,0.686,4.592,15.389,1,K00842.01,5794379
36.06588163,4.3246,1563.8,2.64,5.88,397.0,4702.0,0.686,4.592,15.389,1,K00842.02,5794379
4.190425659,2.8589,2877.4,6.21,547.9,1234.0,6073.0,1.135,4.392,15.27,1,K00843.01,5881688
3.709870784,3.0694,2020.3,4.35,415.1,1151.0,5727.0,0.978,4.463,15.581,1,K00844.01,6022556
16.3297527,6.271,1187.5,3.75,66.08,727.0,5878.0,0.987,4.444,15.447,1,K00845.01,6032497
27.807566216,4.21587,25391.0,13.84,22.24,554.0,5862.0,0.785,4.584,15.482,1,K00846.01,6061119
80.8723469,11.195,3604.6,7.59,9.88,452.0,5510.0,1.238,4.222,15.201,1,K00847.01,6191521
3.166465862,2.9381,4357.2,26.82,196.31,954.0,4968.0,0.704,4.575,15.999,0,K00848.01,6267425
24.99324319,5.9409,269.6,2.29,60.88,712.0,5718.0,1.317,4.181,12.377,1,K00118.01,3531558
10.35533116,3.1775,750.6,2.47,86.22,777.0,5501.0,0.918,4.462,15.018,1,K00849.01,6276477
16.08518937,3.984,1442.4,3.68,33.43,613.0,5239.0,0.826,4.523,15.219,1,K00867.01,6863998
7.49018305,2.7297,1123.6,2.56,76.06,753.0,5103.0,0.787,4.562,15.599,1,K00869.01,6948054
36.2761238,4.7865,1572.6,3.03,9.29,445.0,5103.0,0.787,4.562,15.599,1,K00869.02,6948054
17.46087931,2.2641,812.4,2.32,24.6,568.0,5103.0,0.787,4.562,15.599,1,K00869.03,6948054
56.0560754,4.685,1626.0,1.94,0.69,233.0,3593.0,0.491,4.757,15.849,1,K00854.01,6435936
41.408316686,5.0264,22839.0,11.38,9.93,453.0,5522.0,0.747,4.586,15.196,1,K00855.01,6522242
5.715425977,2.5242,908.1,2.47,123.03,850.0,5237.0,0.826,4.572,15.086,1,K00857.01,6587280
49.18394185,11.3364,1646.2,8.2,47.4,669.0,5626.0,2.057,3.907,12.654,1,K00119.01,9471974
20.0261412,1.611,421.2,2.28,23.14,559.0,5237.0,0.826,4.572,15.086,1,K00857.02,6587280
10.44331991,2.743,1159.8,2.66,46.94,667.0,4947.0,0.802,4.516,15.546,0,K00859.01,6675056
2.237489571,1.8119,315.8,1.41,427.17,1160.0,5265.0,0.81,4.58,15.001,1,K00861.01,6685526
5.851520671,3.11058,33004.0,14.62,155.89,901.0,5532.0,0.806,4.53,15.33,0,K00862.01,6756669
3.167893418,2.1814,781.2,2.62,526.23,1221.0,5895.0,0.94,4.503,15.533,1,K00863.01,6784235
4.311780262,2.7251,1154.0,3.11,274.84,1038.0,5527.0,0.927,4.484,15.604,1,K00864.01,6849310
20.0504494,4.556,840.9,2.69,35.44,622.0,5527.0,0.927,4.484,15.604,1,K00864.02,6849310
9.76734503,1.6585,569.1,2.67,92.46,791.0,5527.0,0.927,4.484,15.604,1,K00864.03,6849310
190.3200468,15.284,1141.7,7.78,7.8,426.0,5626.0,2.057,3.907,12.654,1,K00119.02,9471974
2.861159894,1.8832,1014.3,4.37,797.1,1355.0,6126.0,1.021,4.458,15.618,0,K00866.01,6862603
26.44439337,3.9783,1843.5,3.91,23.54,562.0,5427.0,0.929,4.463,15.158,1,K00880.01,7366258
51.53997972,6.3994,3644.3,5.51,9.67,450.0,5427.0,0.929,4.463,15.158,1,K00880.02,7366258
5.902245782,2.9003,702.3,2.43,173.74,926.0,5427.0,0.929,4.463,15.158,1,K00880.03,7366258
2.382951591,1.8876,391.6,1.86,583.01,1253.0,5427.0,0.929,4.463,15.158,1,K00880.04,7366258
21.02250608,4.1072,1772.5,3.07,17.48,521.0,5067.0,0.75,4.585,15.859,1,K00881.01,7373451
3.219814777,2.0642,488.2,1.69,234.93,998.0,5103.0,0.787,4.562,15.599,1,K00869.04,6948054
5.912273234,2.3254,961.4,1.73,27.72,585.0,4072.0,0.57,4.696,15.036,1,K00870.01,6949607
8.98581901,2.8606,881.3,1.65,15.9,509.0,4072.0,0.57,4.696,15.036,1,K00870.02,6949607
20.5452375,2.517,218.5,2.41,71.57,742.0,5670.0,1.264,4.206,12.003,0,K00120.01,11869052
33.60123371,4.4056,7425.9,8.46,14.22,495.0,5149.0,0.93,4.447,15.262,1,K00872.01,7109675
6.76652928,2.9004,450.7,1.97,120.48,845.0,5149.0,0.93,4.447,15.262,1,K00872.02,7109675
4.347288783,2.1024,451.6,2.36,449.79,1174.0,5754.0,1.122,4.345,15.024,1,K00873.01,7118364
4.601811819,2.2607,755.9,2.35,152.91,896.0,4986.0,0.833,4.496,15.024,1,K00874.01,7134976
11.18719905,3.252,353.6,1.55,46.65,667.0,4986.0,0.833,4.496,15.024,1,K00874.02,7134976
4.220965778,3.0854,2260.0,2.62,29.68,595.0,3837.0,0.517,4.747,15.692,1,K00875.01,7135852
