period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
3.4741012,3.317,15748.0,21.2912,3453.07,2084.3330866,8894.8,1.62,4.38,7.55216,1,1151.01,69679391
13.0727479,3.044,4080.0,35.7944,221.343,1074.0,5709.8,3.59,3.37,9.6043,0,1157.01,147576037
2.7985802,2.3801043,16708.7151957,11.9514993,332.556249,1089.1458169,4920.0,0.906655,4.49371,11.0443,1,116.01,238176110
2.2552845,2.05,20820.0,14.688,549.715,1348.0,5787.0,0.96,4.5,9.76703,1,1165.01,458478250
1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,5900.4,1.13,4.39,9.7604,0,1166.01,138361973
2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,5969.0,1.5,4.17,10.381,0,1168.01,41330864
3.5862962,3.3710943,5729.3246858,16.4747611,1787.5955937,1658.3915202,5704.8,2.00441,3.84,11.7806,1,117.01,322307342
1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,7875.0,3.5,3.61,10.349,0,1170.01,294176967
11.1876137,3.183,4924.0,31.8624,838.609,1499.0,7266.0,2.05,4.06,10.3075,0,1171.01,101929303
7.0643978,2.424,8268.0,9.39131,104.311,890.0,5429.6,0.96,4.44,10.2938,1,1173.01,232967440
8.9534775,2.696,1136.0,2.35888,45.5604,723.0,5029.5,0.76,4.61,10.2549,1,1174.01,154089169
7.5022708,2.605,1760.0,5.55812,129.866,940.0,6229.0,1.27,4.31,10.2026,0,1175.01,30329585
1.692892,2.886,1418.0,11.2371,187927.0,5800.0,9121.5,2.1,4.21,10.1617,0,1177.01,169177766
2.6652007,3.49,819.0,2.35964,2905.35,2045.0,4043.4,0.56,4.69,10.1358,0,1178.01,359496368
6.0344667,1.89,1800.0,4.44029,64.2648,788.0,5586.0,1.05,4.36763,9.179,1,118.01,266980320
9.6867516,2.512,1669.0,3.00336,41.6645,707.0,4738.1,0.73,4.59,10.112,1,1180.01,158002130
2.1031647,5.059,7142.0,16.7087,14140.0,3037.0,6122.0,1.93,3.93,10.079,1,1181.01,229510866
5.7484439,1.76,1041.0,2.35215,75.272,820.0,4534.0,0.69,4.61,9.9469,1,1184.01,233087860
1.1967018,1.879,824.0,10.3239,25917.9,3534.0,5997.0,1.73,4.0,9.94025,0,1185.01,83210867
11.2464616,7.391,7576.0,17.6677,365.938,1218.0,6115.7,2.01,3.89,9.92402,0,1186.01,289539327
15.7335693,3.288,2540.0,24.3218,367.588,1219.0,6800.0,2.21,3.91,9.7831,0,1191.01,237185205
2.3106428,1.294,6911.0,8.76741,203.685,1052.0,5339.9,0.99,4.41,10.4782,1,1194.01,147950620
3.612771,4.142,11794.0,19.3662,5011.92,2344.0,8324.0,1.71,4.28,10.4219,1,1198.01,203189770
3.6714717,2.149,4340.0,10.678,324.114,1182.0,5618.0,1.54,4.06,10.4221,1,1199.01,99869022
